event_time,event_phase
2019-09-03T23:01:53Z,1
2019-09-03T23:13:07Z,3
2019-09-03T23:14:08Z,3
2019-09-03T23:17:25Z,3
2019-09-03T23:20:04Z,3
2019-09-03T23:25:05Z,3
2019-09-03T23:27:53Z,3
2019-09-03T23:28:57Z,2
2019-09-03T23:28:58Z,3
2019-09-03T23:30:21Z,3
2019-09-03T23:36:28Z,3
2019-09-03T23:38:11Z,3
2019-09-03T23:38:36Z,3
2019-09-03T23:47:23Z,3
2019-09-03T23:51:33Z,3
2019-09-03T23:52:02Z,3
2019-09-04T00:01:39Z,3
2019-09-04T00:02:52Z,3
2019-09-04T00:06:27Z,2
2019-09-04T00:08:32Z,3
2019-09-04T00:13:34Z,3
2019-09-04T00:25:04Z,3
2019-09-04T00:26:13Z,2
2019-09-04T00:34:37Z,3
2019-09-04T00:35:37Z,3
2019-09-04T00:36:57Z,3
2019-09-04T00:37:56Z,3
2019-09-04T00:39:33Z,3
2019-09-04T00:40:47Z,3
2019-09-04T00:41:44Z,3
2019-09-04T00:42:23Z,3
2019-09-04T00:43:50Z,2
2019-09-04T00:43:51Z,3
2019-09-04T00:44:56Z,3
2019-09-04T00:48:13Z,3
2019-09-04T00:56:50Z,3
2019-09-04T01:00:35Z,3
2019-09-04T01:05:32Z,3
2019-09-04T01:21:35Z,2
2019-09-04T01:22:55Z,3
2019-09-04T01:31:33Z,3
2019-09-04T01:48:54Z,3
2019-09-04T01:58:52Z,2
2019-09-04T02:06:14Z,3
2019-09-04T02:09:28Z,3
2019-09-04T02:13:35Z,3
2019-09-04T02:14:57Z,3
2019-09-04T02:14:58Z,1
2019-09-04T02:18:06Z,3
2019-09-04T02:21:55Z,3
2019-09-04T02:30:27Z,3
2019-09-04T02:32:17Z,1
2019-09-04T02:32:21Z,3
2019-09-04T02:33:23Z,3
2019-09-04T02:35:25Z,3
2019-09-04T02:36:02Z,2
2019-09-04T02:48:06Z,3
2019-09-04T02:55:11Z,2
2019-09-04T02:57:20Z,3
2019-09-04T02:59:06Z,3
2019-09-04T02:59:46Z,3
2019-09-04T03:07:03Z,3
2019-09-04T03:10:21Z,3
2019-09-04T03:11:30Z,3
2019-09-04T03:13:44Z,2
2019-09-04T03:14:10Z,3
2019-09-04T03:15:43Z,3
2019-09-04T03:18:25Z,3
2019-09-04T03:19:59Z,3
2019-09-04T03:21:52Z,3
2019-09-04T03:22:48Z,3
2019-09-04T03:24:24Z,3
2019-09-04T03:26:46Z,3
2019-09-04T03:27:33Z,3
2019-09-04T03:35:06Z,2
2019-09-04T03:35:07Z,1
2019-09-04T03:36:56Z,3
2019-09-04T03:41:45Z,3
2019-09-04T03:43:30Z,3
2019-09-04T03:50:22Z,3
2019-09-04T03:51:21Z,2
2019-09-04T03:52:35Z,3
2019-09-04T04:06:05Z,3
2019-09-04T04:07:46Z,3
2019-09-04T04:09:33Z,3
2019-09-04T04:10:00Z,3
2019-09-04T04:15:32Z,3
2019-09-04T04:16:14Z,3
2019-09-04T04:18:52Z,3
2019-09-04T04:22:45Z,3
2019-09-04T04:26:55Z,3
2019-09-04T04:28:29Z,2
2019-09-04T04:28:31Z,3
2019-09-04T04:43:26Z,3
2019-09-04T04:56:33Z,2
2019-09-04T05:00:19Z,2
2019-09-04T05:00:23Z,3
2019-09-04T05:05:42Z,2
2019-09-04T05:09:27Z,3
2019-09-04T05:10:23Z,3
2019-09-04T05:11:01Z,3
2019-09-04T05:12:22Z,3
2019-09-04T05:13:52Z,3
2019-09-04T05:16:19Z,3
2019-09-04T05:17:00Z,2
2019-09-04T05:17:16Z,3
2019-09-04T05:22:14Z,2
2019-09-04T05:25:57Z,3
2019-09-04T05:32:16Z,1
2019-09-04T05:42:52Z,2
2019-09-04T05:43:22Z,3
2019-09-04T05:49:26Z,3
2019-09-04T05:51:13Z,3
2019-09-04T05:52:04Z,3
2019-09-04T05:58:38Z,3
2019-09-04T05:59:36Z,3
2019-09-04T06:09:00Z,3
2019-09-04T06:15:50Z,3
2019-09-04T06:18:07Z,3
2019-09-04T06:20:42Z,2
2019-09-04T06:26:45Z,3
2019-09-04T06:35:26Z,3
2019-09-04T06:39:32Z,3
2019-09-04T06:39:59Z,3
2019-09-04T06:54:09Z,3
2019-09-04T06:55:50Z,1
2019-09-04T06:57:56Z,2
2019-09-04T06:59:32Z,1
2019-09-04T07:01:00Z,3
2019-09-04T07:02:34Z,1
2019-09-04T07:04:16Z,3
2019-09-04T07:09:27Z,3
2019-09-04T07:10:58Z,1
2019-09-04T07:14:29Z,3
2019-09-04T07:27:17Z,3
2019-09-04T07:29:48Z,3
2019-09-04T07:31:11Z,3
2019-09-04T07:33:40Z,3
2019-09-04T07:35:05Z,2
2019-09-04T07:35:52Z,3
2019-09-04T07:43:35Z,3
2019-09-04T07:44:20Z,2
2019-09-04T07:45:20Z,3
2019-09-04T07:47:15Z,3
2019-09-04T07:52:37Z,3
2019-09-04T07:56:10Z,3
2019-09-04T08:02:40Z,3
2019-09-04T08:12:25Z,2
2019-09-04T08:16:33Z,2
2019-09-04T08:17:28Z,2
2019-09-04T08:18:32Z,2
2019-09-04T08:21:11Z,1
2019-09-04T08:21:18Z,3
2019-09-04T08:22:23Z,3
2019-09-04T08:23:32Z,1
2019-09-04T08:25:28Z,1
2019-09-04T08:25:44Z,3
2019-09-04T08:27:37Z,1
2019-09-04T08:28:49Z,1
2019-09-04T08:29:44Z,1
2019-09-04T08:30:50Z,3
2019-09-04T08:31:02Z,1
2019-09-04T08:31:59Z,1
2019-09-04T08:33:08Z,1
2019-09-04T08:34:33Z,1
2019-09-04T08:34:49Z,3
2019-09-04T08:35:45Z,1
2019-09-04T08:36:11Z,3
2019-09-04T08:37:49Z,1
2019-09-04T08:39:22Z,3
2019-09-04T08:39:39Z,1
2019-09-04T08:40:43Z,1
2019-09-04T08:41:43Z,1
2019-09-04T08:42:57Z,1
2019-09-04T08:44:11Z,3
2019-09-04T08:44:22Z,1
2019-09-04T08:44:44Z,3
2019-09-04T08:45:27Z,1
2019-09-04T08:46:16Z,3
2019-09-04T08:46:25Z,1
2019-09-04T08:47:27Z,1
2019-09-04T08:48:32Z,1
2019-09-04T08:49:45Z,3
2019-09-04T08:49:50Z,1
2019-09-04T08:50:19Z,2
2019-09-04T08:51:32Z,1
2019-09-04T08:52:47Z,1
2019-09-04T08:54:07Z,1
2019-09-04T08:55:20Z,3
2019-09-04T08:55:49Z,3
2019-09-04T08:55:54Z,1
2019-09-04T08:56:57Z,3
2019-09-04T08:57:06Z,1
2019-09-04T08:58:06Z,1
2019-09-04T08:59:02Z,1
2019-09-04T09:00:32Z,1
2019-09-04T09:01:29Z,1
2019-09-04T09:01:55Z,3
2019-09-04T09:02:30Z,3
2019-09-04T09:02:31Z,1
2019-09-04T09:03:31Z,1
2019-09-04T09:04:10Z,3
2019-09-04T09:04:22Z,1
2019-09-04T09:05:26Z,1
2019-09-04T09:06:13Z,3
2019-09-04T09:06:21Z,1
2019-09-04T09:07:23Z,1
2019-09-04T09:08:17Z,3
2019-09-04T09:08:47Z,1
2019-09-04T09:09:43Z,1
2019-09-04T09:10:34Z,3
2019-09-04T09:10:38Z,1
2019-09-04T09:12:11Z,3
2019-09-04T09:12:28Z,1
2019-09-04T09:13:39Z,1
2019-09-04T09:14:09Z,3
2019-09-04T09:15:14Z,1
2019-09-04T09:15:38Z,3
2019-09-04T09:16:18Z,1
2019-09-04T09:16:46Z,3
2019-09-04T09:17:11Z,3
2019-09-04T09:17:31Z,1
2019-09-04T09:18:34Z,3
2019-09-04T09:18:45Z,1
2019-09-04T09:19:46Z,1
2019-09-04T09:20:46Z,1
2019-09-04T09:21:43Z,1
2019-09-04T09:22:44Z,1
2019-09-04T09:23:49Z,1
2019-09-04T09:25:01Z,1
2019-09-04T09:26:22Z,1
2019-09-04T09:27:50Z,2
2019-09-04T09:28:01Z,1
2019-09-04T09:29:03Z,1
2019-09-04T09:29:55Z,1
2019-09-04T09:31:50Z,1
2019-09-04T09:34:02Z,1
2019-09-04T09:34:59Z,1
2019-09-04T09:35:37Z,3
2019-09-04T09:35:51Z,1
2019-09-04T09:36:26Z,1
2019-09-04T09:36:53Z,1
2019-09-04T09:38:25Z,1
2019-09-04T09:39:43Z,1
2019-09-04T09:42:37Z,1
2019-09-04T09:43:54Z,1
2019-09-04T09:46:08Z,1
